City,Compounded_polarity
Chennai,-2.96
Chennai,8.494
Chennai,5.719
Chennai,4.914
Chennai,8.689
Chennai,8.074
Chennai,7.43
Chennai,6.571
Chennai,5.994
Chennai,8.603
Chennai,9.348
Chennai,2.677
Chennai,7.333
Chennai,7.506
Chennai,6.981
Chennai,5.994
Chennai,8.176
Chennai,8.507
Chennai,8.739
Chennai,-0.516
Chennai,8.074
Chennai,4.215
Chennai,9.413
Chennai,8.35
Chennai,5.267
Chennai,8.555
Chennai,3.612
Chennai,-4.939
Chennai,4.912
Chennai,5.994
Chennai,5.994
Chennai,5.859
Chennai,7.845
Chennai,2.448
Chennai,5.859
Chennai,7.84
Chennai,4.019
Chennai,9.022
Chennai,6.249
Chennai,9.514
Chennai,7.712
Chennai,7.128
Chennai,-3.4
Chennai,-2.263
Chennai,4.795
Chennai,9.678
Chennai,3.612
Chennai,4.019
Chennai,8.777
Chennai,8.402
Chennai,4.019
Chennai,-8.188
Chennai,2.235
Chennai,5.267
Chennai,-2.5
Chennai,6.115
Chennai,-0.516
Chennai,6.524
Chennai,5.994
Chennai,9.413
Chennai,5.267
Chennai,6.249
Chennai,5.267
Chennai,9.01
Chennai,9.274
Chennai,5.994
Chennai,5.093
Chennai,8.807
Chennai,3.612
Chennai,9.337
Chennai,2.5
Chennai,9.513
Chennai,5.859
Chennai,8.807
Chennai,8.555
Chennai,7.627
Chennai,-4.767
Chennai,9.022
Chennai,5.994
Chennai,9.251
Chennai,2.183
Chennai,5.574
Chennai,7.003
Chennai,8.807
Chennai,-0.772
Chennai,-6.956
Chennai,7.927
Chennai,-0.634
Chennai,8.074
Chennai,0.258
Chennai,9.15
Chennai,2.023
Chennai,5.859
Chennai,7.717
Chennai,4.019
Chennai,7.784
Chennai,4.643
Chennai,8.398
Chennai,-6.597
Chennai,6.662
Chennai,5.423
Chennai,7.825
Chennai,-6.597
Chennai,7.783
Chennai,-5.574
Chennai,-6.597
Chennai,4.588
Chennai,0.772
Chennai,-2.96
Chennai,8.881
Chennai,8.442
Chennai,4.754
Chennai,8.074
Chennai,3.612
Chennai,8.475
Chennai,4.019
Chennai,8.658
Chennai,7.249
Chennai,3
Chennai,9.46
Chennai,8.172
Chennai,7.783
Chennai,8.225
Chennai,-6.171
Chennai,7.43
Chennai,4.404
Chennai,5.994
Chennai,8.779
Chennai,8.118
Chennai,4.215
Chennai,9.485
Chennai,-4.939
Chennai,1.027
Chennai,5.859
Chennai,9.403
Chennai,6.705
Chennai,4.019
Chennai,5.994
Chennai,7.65
Chennai,6.249
Chennai,9.46
Chennai,5.267
Chennai,8.689
Chennai,6.531
Chennai,8.36
Chennai,9.46
Chennai,3.103
Chennai,5.267
Chennai,3.4
Chennai,5.719
Chennai,3.802
Chennai,5.719
Chennai,5.423
Chennai,-4.939
Chennai,5.859
Chennai,5.707
Chennai,8.679
Chennai,0.258
Kolkata,8.402
Kolkata,9.217
Kolkata,-5.399
Kolkata,8.402
Kolkata,5.859
Kolkata,-3.818
Kolkata,5.859
Kolkata,-4.404
Kolkata,-4.559
Kolkata,4.939
Kolkata,1.28
Kolkata,5.52
Kolkata,5.673
Kolkata,3.182
Kolkata,8.221
Kolkata,5.386
Kolkata,4.019
Kolkata,-8.72
Kolkata,5.386
Kolkata,6.114
Kolkata,-1.511
Kolkata,1.511
Kolkata,3.612
Kolkata,4.404
Kolkata,5.173
Kolkata,-5.994
Kolkata,3.818
Kolkata,-5.106
Kolkata,8.91
Kolkata,8.074
Kolkata,7.964
Kolkata,-5.255
Kolkata,4.588
Kolkata,3.612
Kolkata,9.762
Kolkata,5.707
Kolkata,8.126
Kolkata,-6.124
Kolkata,9.46
Kolkata,8.176
Kolkata,4.019
Kolkata,9.287
Kolkata,8.176
Kolkata,8.86
Kolkata,-4.003
Kolkata,8.979
Kolkata,-5.673
Kolkata,4.215
Kolkata,6.776
Kolkata,8.655
Kolkata,6.597
Kolkata,-2.5
Kolkata,-5.067
Kolkata,-3.182
Kolkata,5.106
Kolkata,3.612
Kolkata,-2.924
Kolkata,8.834
Kolkata,5.994
Kolkata,1.28
Kolkata,-4.019
Kolkata,8.402
Kolkata,-2.924
Kolkata,9.062
Kolkata,7.346
Kolkata,2.846
Kolkata,5.574
Kolkata,-5.267
Kolkata,5.859
Kolkata,7.574
Kolkata,1.28
Kolkata,1.007
Kolkata,5.859
Kolkata,-6.588
Kolkata,4.545
Kolkata,-5.419
Kolkata,5.859
Kolkata,6.006
Kolkata,5.859
Kolkata,5.106
Kolkata,8.741
Kolkata,5.994
Kolkata,4.574
Kolkata,-2.023
Kolkata,5.994
Kolkata,9.3
Kolkata,6.239
Kolkata,-3.197
Kolkata,-3.4
Kolkata,-2.168
Kolkata,9.153
Kolkata,2.924
Kolkata,9.153
Kolkata,1.28
Kolkata,7.5
Kolkata,-3.182
Kolkata,2.023
Kolkata,8.75
Kolkata,4.404
Kolkata,-6.174
Kolkata,7.586
Kolkata,6.597
Kolkata,8.519
Kolkata,4.574
Kolkata,-4.003
Kolkata,8.126
Kolkata,1.139
Kolkata,7.003
Kolkata,0.258
Kolkata,9.442
